ID,Sport,League,Home,Away,Time,Odds Count
football:arsenal dor1an:man city hrk:20260118,football,Esports Battle (2x4min),Arsenal (dor1an),Man City (hrk),2026-01-18 13:28:00,28
football:arsenal:chelsea:20260203,football,EFL Cup,Arsenal,Chelsea,2026-02-03 20:00:00,198
football:arsenal:wigan athletic:20260214,football,FA-cupen,Arsenal,Wigan Athletic,2026-02-14 15:00:00,3
football:arzignano valchiampo:vicenza:20260118,football,Serie C Girone A,Arzignano Valchiampo,Vicenza,2026-01-18 13:30:00,16
football:asm oran:témouchent:20260120,football,Ligue 2,ASM Oran,Témouchent,2026-01-20 13:00:00,16
football:asteras tripolis:aek aten:20260124,football,Super League,Asteras Tripolis,AEK Aten,2026-01-24 17:30:00,111
football:aston villa d:manchester united d:20260125,football,Super League - Damer,Aston Villa (d),Manchester United (d),2026-01-25 11:55:00,122
football:aston villa:everton:20260118,football,Premier League,Aston Villa FC,Everton FC,2026-01-18 16:30:00,211
football:aston villa:newcastle:20260214,football,FA-cupen,Aston Villa,Newcastle United,2026-02-14 15:00:00,3
football:atalanta:bilbao:20260121,football,Champions League,Atalanta,Athletic Bilbao,2026-01-21 20:00:00,62
football:atleti og:arsenal dor1an:20260118,football,Esports Battle (2x4min),Atleti (OG),Arsenal (dor1an),2026-01-18 13:16:00,28
football:atleti og:b dortmund tonexo:20260118,football,Esports Battle (2x4min),Atleti (OG),B Dortmund (tonexo),2026-01-18 12:40:00,27
football:atleti og:juventus mko1919:20260118,football,Esports Battle (2x4min),Atleti (OG),Juventus (mko1919),2026-01-18 14:28:00,28
football:atleti og:man city hrk:20260118,football,Esports Battle (2x4min),Atleti (OG),Man City (hrk),2026-01-18 14:04:00,28
football:atleti wboy:barcelona bomb1to:20260118,football,Esports Battle (2x4min),Atleti (Wboy),Barcelona (Bomb1to),2026-01-18 13:24:00,27
football:atleti wboy:club arcos:20260118,football,Esports Battle (2x4min),Atleti (Wboy),Athletic Club (Arcos),2026-01-18 13:48:00,28
football:atleti wboy:madrid laikingdast:20260118,football,Esports Battle (2x4min),Atleti (Wboy),Real Madrid (LaikingDast),2026-01-18 14:36:00,26
football:atleti wboy:villarreal kraftvk:20260118,football,Esports Battle (2x4min),Atleti (Wboy),Villarreal (KraftVK),2026-01-18 14:12:00,26
football:atlético de alagoinhasba:bahia de feiraba:20260118,football,Baiano,Atlético de Alagoinhas-BA,Bahia de Feira-BA,2026-01-18 21:30:00,109
football:atlético madrid t3rz:club palkan:20260118,football,Cyber Live Arena (2x5 min),Atlético Madrid (T3RZ),Athletic Club (palkan),2026-01-18 12:52:00,26
football:atlético madrid t3rz:sevilla voron:20260118,football,Cyber Live Arena (2x5 min),Atlético Madrid (T3RZ),Sevilla (Voron),2026-01-18 12:38:00,26
football:atlético madrid:alaves:20260118,football,La Liga,Atlético Madrid,Alaves,2026-01-18 15:15:00,210
football:atlético mineiromg:palmeirassp:20260128,football,Brasileirao Serie A,Atlético Mineiro-MG,Palmeiras-SP,2026-01-28 18:00:00,116
football:atlético mineiromg:tombensemg:20260118,football,Mineiro,Atlético Mineiro-MG,Tombense-MG,2026-01-18 21:00:00,139
football:atlético nacional sa:jaguares de córdoba:20260127,football,Liga Dimayor,Atlético Nacional S.A,Jaguares de Córdoba,2026-01-27 01:00:00,88
football:atlético nacional sa:millonarios:20260303,football,Copa Sudamericana,Atlético Nacional S.A,Millonarios FC,2026-03-03 15:00:00,112
football:atléticogo:goiásgo:20260118,football,Goiano,Atlético-GO,Goiás-GO,2026-01-18 19:00:00,103
football:auchinleck talbot:celtic:20260118,football,Scottish Cup,Auchinleck Talbot,Celtic,2026-01-18 17:30:00,131
football:auckland:central coast mariners:20260124,football,A-League,Auckland FC,Central Coast Mariners FC,2026-01-24 04:00:00,151
football:augsburg:freiburg:20260118,football,Bundesliga,FC Augsburg,SC Freiburg,2026-01-18 16:30:00,215
football:az alkmaar:excelsior rotterdam:20260121,football,Eredivisie,AZ Alkmaar,Excelsior Rotterdam,2026-01-21 17:45:00,182
football:b dortmund tonexo:arsenal dor1an:20260118,football,Esports Battle (2x4min),B Dortmund (tonexo),Arsenal (dor1an),2026-01-18 14:04:00,26
football:b dortmund tonexo:atleti og:20260118,football,Esports Battle (2x4min),B Dortmund (tonexo),Atleti (OG),2026-01-18 13:40:00,27
football:b dortmund tonexo:juventus mko1919:20260118,football,Esports Battle (2x4min),B Dortmund (tonexo),Juventus (mko1919),2026-01-18 13:16:00,28
football:b dortmund tonexo:man city hrk:20260118,football,Esports Battle (2x4min),B Dortmund (tonexo),Man City (hrk),2026-01-18 12:52:00,28
football:banfield:huracán:20260122,football,Liga Profesional Argentina,Banfield,Huracán,2026-01-22 23:00:00,148
football:bani yas uae:al bataeh:20260118,football,Arabian Gulf League,Bani Yas (UAE),Al Bataeh,2026-01-18 13:05:00,28
football:barakaldo:cd guadalajara spanien:20260118,football,Primera RFEF 1,Barakaldo,CD Guadalajara (Spanien),2026-01-18 17:15:00,66
football:barcelona bomb1to:atleti wboy:20260118,football,Esports Battle (2x4min),Barcelona (Bomb1to),Atleti (Wboy),2026-01-18 14:24:00,27
football:barcelona bomb1to:club arcos:20260118,football,Esports Battle (2x4min),Barcelona (Bomb1to),Athletic Club (Arcos),2026-01-18 13:12:00,28
football:barcelona bomb1to:madrid laikingdast:20260118,football,Esports Battle (2x4min),Barcelona (Bomb1to),Real Madrid (LaikingDast),2026-01-18 14:00:00,27
football:barcelona bomb1to:villarreal kraftvk:20260118,football,Esports Battle (2x4min),Barcelona (Bomb1to),Villarreal (KraftVK),2026-01-18 13:36:00,28
football:barcelona:argentinos jrs:20260219,football,Copa Libertadores,Barcelona SC,Argentinos Jrs,2026-02-19 00:30:00,116
football:barnet:oldham athletic:20260124,football,League Two,Barnet,Oldham Athletic,2026-01-24 12:30:00,119
football:barracas central:river plate:20260124,football,Liga Profesional Argentina,Barracas Central,River Plate,2026-01-24 20:00:00,103
football:barrow:crawley town:20260124,football,League Two,Barrow,Crawley Town,2026-01-24 15:00:00,126
football:basel:sion:20260118,football,Super League,Basel,FC Sion,2026-01-18 15:30:00,127
football:bayer leverkusen:bremen:20260124,football,Bundesliga,Bayer 04 Leverkusen,SV Werder Bremen,2026-01-24 14:30:00,85
football:bayern kudo_03:milan schabson:20260118,football,Cyber Live Arena (2x5 min),FC Bayern (kudo_03),Milan (Schabson),2026-01-18 14:58:00,26
football:bayern munchen flamez:madrid vivienne:20260118,football,eSports Battle (2x6 min),Bayern Munchen (flamez),Real Madrid (vivienne),2026-01-18 13:02:00,26
football:bayern munchen flamez:paris totti:20260118,football,eSports Battle (2x6 min),Bayern Munchen (flamez),Paris (Totti),2026-01-18 12:44:00,26
football:bayern munich:ru saintgilloise:20260121,football,Champions League,FC Bayern München,RU Saint-Gilloise,2026-01-21 20:00:00,59
football:beerschot:olympic charleroi:20260118,football,Challenger Pro League,Beerschot,Olympic Charleroi,2026-01-18 15:00:00,121
football:beşiktaş jk:kayserispor:20260119,football,Turkish Super Lig,Beşiktaş JK,Kayserispor,2026-01-19 17:00:00,154
football:birmingham:leeds:20260214,football,FA-cupen,Birmingham,Leeds,2026-02-14 15:00:00,3
football:blackpool:northampton town:20260124,football,League One,Blackpool,Northampton Town,2026-01-24 15:00:00,146
football:boca juniors:deportivo riestra:20260125,football,Liga Profesional Argentina,Boca Juniors,Deportivo Riestra,2026-01-25 21:30:00,143
football:bodrumspor:sivasspor:20260119,football,1. Lig,Bodrumspor,Sivasspor,2026-01-19 17:00:00,71
football:bodøglimt:manchester city:20260120,football,Champions League,FK Bodø/Glimt,Manchester City FC,2026-01-20 17:45:00,77
football:bolivia:panama:20260118,football,Internationella Vänskapsmatcher,Bolivia,Panama,2026-01-18 21:00:00,120
football:bologna:celtic:20260122,football,Europa League,Bologna FC 1909,Celtic FC,2026-01-22 17:45:00,149
football:bologna:fiorentina:20260118,football,Serie A,Bologna FC 1909,ACF Fiorentina,2026-01-18 14:00:00,219
football:bolton:leyton orient:20260124,football,League One,Bolton,Leyton Orient,2026-01-24 15:00:00,160
football:boluspor:sarıyer sk:20260118,football,1. Lig,Boluspor,Sarıyer S.K.,2026-01-18 13:00:00,75
football:boreham wood:scunthorpe:20260120,football,National League,Boreham Wood,Scunthorpe,2026-01-20 19:45:00,71
football:botafogorj:cruzeiromg:20260128,football,Brasileirao Serie A,Botafogo-RJ,Cruzeiro-MG,2026-01-28 18:00:00,219
football:bra:ravenna:20260118,football,Serie C Girone B,AC Bra,Ravenna,2026-01-18 16:30:00,16
football:brann:midtjylland:20260122,football,Europa League,SK Brann,FC Midtjylland,2026-01-22 17:45:00,137
football:brasilien:marocko:20260613,football,VM 2026,Brasilien,Marocko,2026-06-13 18:00:00,155
football:brighton d:nottingham forest d:20260118,football,FA-cupen (d),Brighton (d),Nottingham Forest (d),2026-01-18 13:00:00,69
football:brighton:bournemouth:20260119,football,Premier League,Brighton & Hove Albion FC,AFC Bournemouth,2026-01-19 20:00:00,226
football:brisbane roar:adelaide united:20260124,football,A-League,Brisbane Roar FC,Adelaide United FC,2026-01-24 06:00:00,134
football:bromley:swindon town:20260124,football,League Two,Bromley FC,Swindon Town,2026-01-24 15:00:00,120
football:brøndby:randers:20260208,football,Danish Superliga,Brøndby IF,Randers FC,2026-02-08 17:00:00,127
football:burgos:huesca:20260118,football,La Liga 2,Burgos,Huesca,2026-01-18 17:30:00,134
football:burnley:mansfield town:20260214,football,FA-cupen,Burnley,Mansfield Town,2026-02-14 15:00:00,3
football:burnley:tottenham:20260124,football,Premier League,Burnley FC,Tottenham Hotspur FC,2026-01-24 15:00:00,70
football:burton albion:west ham:20260214,football,FA-cupen,Burton Albion,West Ham,2026-02-14 12:15:00,3
football:ca boston river:racing club de montevideo:20260303,football,Copa Sudamericana,CA Boston River,Racing Club de Montevideo,2026-03-03 15:00:00,115
football:cacereño:arenas club de getxo:20260118,football,Primera RFEF 1,Cacereño,Arenas Club de Getxo,2026-01-18 15:00:00,73
football:cadiz:granada:20260124,football,La Liga 2,Cadiz,Granada,2026-01-24 20:00:00,143
football:cambridge united:tranmere:20260124,football,League Two,Cambridge United,Tranmere,2026-01-24 15:00:00,117
football:cambuur leeuwarden:eindhoven:20260123,football,Eerste Divisie,Cambuur Leeuwarden,FC Eindhoven,2026-01-23 19:00:00,149
football:carabobo:huachipato:20260217,football,Copa Libertadores,Carabobo FC,Huachipato,2026-02-17 22:00:00,115
football:caracas:metropolitanos:20260303,football,Copa Sudamericana,Caracas FC,Metropolitanos FC,2026-03-03 15:00:00,112
football:cardiff city:stockport county:20260124,football,League One,Cardiff City,Stockport County,2026-01-24 12:30:00,153
football:carlisle:york city:20260121,football,National League,Carlisle,York City,2026-01-21 19:45:00,75
football:carrarese:empoli:20260123,football,Serie B,Carrarese,Empoli,2026-01-23 19:30:00,119
football:casa pia:avs futebol:20260123,football,Primeira Liga,Casa Pia AC,AVS Futebol,2026-01-23 20:15:00,136
football:caxiasrs:guaranyrs:20260118,football,Gaúcho,Caxias-RS,Guarany-RS,2026-01-18 19:00:00,139
football:cd de tondela:sc braga:20260118,football,Primeira Liga,CD de Tondela,S.C. Braga,2026-01-18 18:00:00,147
football:cd fuerte san francisco morazan:cd hercules:20260118,football,Primera El Salvador,CD Fuerte San Francisco Morazan,CD Hercules,2026-01-18 21:00:00,109
football:cd malacitano:club atletico antoniano:20260118,football,Segunda RFEF 4,CD Malacitano,Club Atletico Antoniano,2026-01-18 15:00:00,66
football:cd quintanar del rey:rayo vallecano b:20260118,football,Segunda RFEF 5,CD Quintanar Del Rey,Rayo Vallecano B,2026-01-18 15:30:00,64
football:cd santa clara:famalicão:20260118,football,Primeira Liga,CD Santa Clara,FC Famalicão,2026-01-18 15:30:00,145
football:celta vigo:rayo vallecano:20260118,football,La Liga,Celta Vigo,Rayo Vallecano,2026-01-18 17:30:00,210
football:central córdoba:gimnasia y esgrima de mendoza:20260123,football,Liga Profesional Argentina,Central Córdoba,Gimnasia y Esgrima de Mendoza,2026-01-23 01:15:00,154
football:cerro porteño:libertad asuncion:20260124,football,Primera Paraguay,Cerro Porteño,Libertad Asuncion,2026-01-24 23:15:00,156
football:cesena:bari:20260124,football,Serie B,Cesena,Bari,2026-01-24 14:00:00,117
football:cfr cluj:oţelul galaţi:20260118,football,Liga I,CFR Cluj,Oţelul Galaţi,2026-01-18 15:45:00,143
football:chaouia:ca batna:20260120,football,Ligue 2,US Chaouia,CA Batna,2026-01-20 13:00:00,16
football:chapecoensesc:marcílio diassc:20260118,football,Catarinense,Chapecoense-SC,Marcílio Dias-SC,2026-01-18 22:30:00,110
football:chapecoensesc:santossp:20260128,football,Brasileirao Serie A,Chapecoense-SC,Santos-SP,2026-01-28 18:00:00,104
football:charlton athletic d:swindon town d:20260118,football,FA-cupen (d),Charlton Athletic (d),Swindon Town (d),2026-01-18 14:00:00,74
football:charlton athletic:derby county:20260120,football,The Championship,Charlton Athletic,Derby County,2026-01-20 19:45:00,89
football:chelsea djamik:liverpool bibib:20260118,football,Cyber Live Arena (2x5 min),Chelsea (djamik),Liverpool (BiBiB),2026-01-18 14:54:00,28
football:chelsea djamik:manchester city int1ligent:20260118,football,Cyber Live Arena (2x5 min),Chelsea (djamik),Manchester City (Int1liGenT),2026-01-18 13:30:00,28
football:chelsea:páfos:20260121,football,Champions League,Chelsea FC,Páfos FC,2026-01-21 20:00:00,59
football:cheltenham:grimsby town:20260124,football,League Two,Cheltenham,Grimsby Town,2026-01-24 15:00:00,122
football:cianortepr:cascavelpr:20260118,football,Paranaense,Cianorte-PR,Cascavel-PR,2026-01-18 20:30:00,109
football:cienciano cusco:fbc melgar:20260303,football,Copa Sudamericana,Cienciano Cusco,FBC Melgar,2026-03-03 15:00:00,120
football:club arcos:atleti wboy:20260118,football,Esports Battle (2x4min),Athletic Club (Arcos),Atleti (Wboy),2026-01-18 14:48:00,28
football:club arcos:barcelona bomb1to:20260118,football,Esports Battle (2x4min),Athletic Club (Arcos),Barcelona (Bomb1to),2026-01-18 14:12:00,28
football:club arcos:madrid laikingdast:20260118,football,Esports Battle (2x4min),Athletic Club (Arcos),Real Madrid (LaikingDast),2026-01-18 13:24:00,28
football:club arcos:villarreal kraftvk:20260118,football,Esports Battle (2x4min),Athletic Club (Arcos),Villarreal (KraftVK),2026-01-18 13:00:00,27
football:club brugge:zulte waregem:20260124,football,Jupiler Pro League,Club Brugge,Zulte Waregem,2026-01-24 17:15:00,171
football:club deportivo garcilaso:cristal:20260201,football,Liga 1,Club Deportivo Garcilaso,Sporting Cristal,2026-02-01 18:00:00,153
football:club deportivo junior:deportes tolima:20260118,football,Liga Dimayor,Club Deportivo Junior,Deportes Tolima,2026-01-18 23:20:00,148
football:club jaiba brava:tepatitlán de morelos:20260118,football,Liga de Expansion MX,Club Jaiba Brava,Tepatitlán de Morelos,2026-01-18 23:00:00,102
football:club marino de luanco:cd lealtad:20260118,football,Segunda RFEF 1,Club Marino de Luanco,CD Lealtad,2026-01-18 16:00:00,66
football:club santos laguna:juárez:20260118,football,Liga MX,Club Santos Laguna,FC Juárez,2026-01-18 23:00:00,159
football:cobresal:audax italiano:20260303,football,Copa Sudamericana,Cobresal,Audax Italiano,2026-03-03 00:30:00,117
football:colchester united:fleetwood town:20260124,football,League Two,Colchester United,Fleetwood Town,2026-01-24 15:00:00,120
football:comerciantes unidos:ucv moquegua:20260202,football,Liga 1,Comerciantes Unidos,UCV Moquegua,2026-02-02 20:00:00,119
football:corinthianssp:bahiaba:20260128,football,Brasileirao Serie A,Corinthians-SP,Bahia-BA,2026-01-28 18:00:00,114
football:corinthianssp:são paulosp:20260118,football,Paulista A1,Corinthians-SP,São Paulo-SP,2026-01-18 19:00:00,199
football:coritibapr:rb bragantinosp:20260128,football,Brasileirao Serie A,Coritiba-PR,RB Bragantino-SP,2026-01-28 18:00:00,200
football:coruxo:atlético astorga:20260118,football,Segunda RFEF 1,Coruxo FC,Atlético Astorga,2026-01-18 16:00:00,66
football:cosenza:crotone:20260119,football,Serie C Girone C,Cosenza,Crotone,2026-01-19 19:30:00,16
football:coventry city:millwall:20260120,football,The Championship,Coventry City,Millwall,2026-01-20 19:45:00,181
football:cp b:torreense:20260119,football,Liga 2,Sporting CP B,Torreense,2026-01-19 18:00:00,72
football:cracgo:abecat ouvidorense:20260118,football,Goiano,CRAC-GO,ABECAT Ouvidorense,2026-01-18 21:10:00,110
football:cremonese:verona:20260119,football,Serie A,US Cremonese,Hellas Verona FC,2026-01-19 17:30:00,204
football:criciúmasc:concordia ca:20260119,football,Catarinense,Criciúma-SC,Concordia CA,2026-01-19 22:30:00,112
