ID,Sport,League,Home,Away,Time,Odds Count
basketball:michigan wolverines:vanderbilt commodores w:20260119,basketball,College Women's Basketball,Michigan Wolverines,Vanderbilt Commodores (W),2026-01-19 19:30:00,2
basketball:midamerica christian evangels:campbell fighting camels:20251114,basketball,College Basketball,Mid-America Christian Evangels,Campbell Fighting Camels,2025-11-14 00:00:00,2
basketball:milwaukee panthers:purdue fort wayne mastodons:20260118,basketball,College Basketball,Milwaukee Panthers,Purdue Fort Wayne Mastodons,2026-01-18 19:00:00,6
basketball:minnesota golden gophers:washington huskies w:20260118,basketball,College Women's Basketball,Minnesota Golden Gophers,Washington Huskies (W),2026-01-18 23:00:00,2
basketball:missouri tigers:florida gators w:20260118,basketball,College Women's Basketball,Missouri Tigers,Florida Gators (W),2026-01-18 18:00:00,2
basketball:missouri tigers:kentucky wildcats:20260106,basketball,College Basketball,Missouri Tigers,Kentucky Wildcats,2026-01-06 05:00:00,2
basketball:morehouse college maroon:howard bison:20260119,basketball,College Basketball,Morehouse College Maroon,Howard Bison,2026-01-19 21:00:00,2
basketball:mount st marys mountaineers:niagara purple eagles:20260119,basketball,College Basketball,Mount St. Mary's Mountaineers,Niagara Purple Eagles,2026-01-19 19:00:00,2
basketball:napoli basket:derthona basket:20260124,basketball,Basketball Serie A,Napoli Basket,Derthona Basket,2026-01-24 17:15:00,2
basketball:nets:bulls:20260119,basketball,NBA,Nets,Bulls,2026-01-19 00:00:00,10
basketball:nets:knicks:20260122,basketball,NBA,Nets,Knicks,2026-01-22 00:30:00,2
basketball:new hampshire wildcats:maine black bears:20260119,basketball,College Basketball,New Hampshire Wildcats,Maine Black Bears,2026-01-19 19:00:00,2
basketball:new zealand breakers:adelaide 36ers:20260123,basketball,NBL Australia,New Zealand Breakers,Adelaide 36ers,2026-01-23 06:30:00,2
basketball:niagara purple eagles:mount st marys mountaineers w:20260119,basketball,College Women's Basketball,Niagara Purple Eagles,Mount St. Mary's Mountaineers (W),2026-01-19 18:00:00,2
basketball:norfolk state spartans:grambling state tigers:20251219,basketball,College Basketball,Norfolk State Spartans,Grambling State Tigers,2025-12-19 05:00:00,2
basketball:north carolina tar heels:florida state seminoles w:20260118,basketball,College Women's Basketball,North Carolina Tar Heels,Florida State Seminoles (W),2026-01-18 19:00:00,2
